ts_code,date,open,high,low,close,pre_close,change_amount,pct_change,volume,amount,daily_return,true_range,typical_price,ma5,ma10,ma20,macd,macd_signal,macd_hist,rsi,ma60,signal_line,bb_middle,bb_upper,bb_lower,volume_ma5,volume_ma20,volume_ratio,price_momentum,price_acceleration,volatility_5d,volatility_20d
600519.SH,2024-10-22,1526.56,1560.18,1524.2,1543.0,1528.8,14.2,0.9288,36269.13,5607826.492,0.009288330716902271,35.98000000000002,1542.46,1525.98,1562.4835286,,-28.48194004143602,-38.33453951380804,-9.30237341681162,,,-19.1795666246244,,,,46604.056000000004,,0.7782397738085285,-0.007238217789930834,0.038448709094756395,0.34211555915550285,
600519.SH,2024-10-23,1544.11,1576.95,1532.0,1567.5,1543.0,24.5,1.5878,40088.46,6259600.035,0.015878159429682404,44.950000000000045,1558.8166666666666,1534.98,1559.7185286,,-26.210398816289853,-40.46519494011134,-5.624665753332362,,,-20.58573306295749,,,,45288.868,,0.8851724887449163,0.029556650246305383,0.03679486803623622,0.3095570284748418,
600519.SH,2024-10-24,1561.0,1575.0,1545.01,1552.2,1567.5,-15.3,-0.9761,23922.8,3723973.209,-0.009760765550239192,29.99000000000001,1557.4033333333334,1546.5,1551.083,,-25.352520092129453,-41.875973357558166,-3.8134296233375693,,,-21.539090468791883,,,,42181.518,,0.5671393808065419,0.03853873946206354,0.00898208921575816,0.2707017187445645,
600519.SH,2024-10-25,1547.0,1574.79,1546.01,1558.85,1552.2,6.65,0.4284,27745.08,4328271.351,0.004284241721427495,28.779999999999973,1559.8833333333332,1550.0700000000002,1546.4689999999998,,-23.860990948218614,-42.49436785093776,-1.857520383541381,38.61404645271814,,-22.003470564677233,,,,34006.674,,0.8158716139073172,0.01158338741077225,-0.026955352051291293,0.175155135018763,
600519.SH,2024-10-28,1560.0,1565.0,1522.23,1565.0,1558.85,6.15,0.3945,39121.4,6064453.668,0.003945216024633602,42.76999999999998,1550.743333333333,1557.31,1542.77,,-21.929895568251823,-42.49436785093776,0.058859997140327636,39.67401221259113,,-21.98875556539215,,,,33429.373999999996,,1.1702701941113227,0.0236787022501308,0.01209531483935855,0.14972965629229482,
600519.SH,2024-10-29,1560.0,1580.0,1530.0,1531.62,1565.0,-33.38,-2.1329,41165.78,6368105.233,-0.021329073482428185,50.0,1547.2066666666667,1555.034,1540.507,,-22.829807785448793,-42.49436785093776,-0.6728417760453098,40.82309253247548,,-22.156966009403483,,,,34408.704000000005,,1.1963769399742574,-0.007375243033052592,-0.031053945283183393,0.2281856337402851,
600519.SH,2024-10-30,1525.0,1551.19,1523.41,1532.0,1531.62,0.38,0.0248,32005.74,4913175.983,0.0002481033154437817,27.779999999999973,1535.5333333333335,1547.934,1541.4569999999999,,-23.244385074871616,-42.46390627578029,-0.8699352523745034,32.42330708455266,,-22.374449822497112,,,,32792.16,,0.9760180482164029,-0.022647527910685805,-0.015272284877633213,0.17424395037366364,
600519.SH,2024-10-31,1532.15,1540.0,1520.0,1527.79,1532.0,-4.21,-0.2748,29957.35,4575545.18,-0.0027480417754569553,20.0,1529.2633333333333,1543.0520000000001,1544.776,,-23.64014352014715,-42.28000277159836,-1.0125549581200275,35.90005844535362,,-22.62758856202712,,,,33999.07,,0.8811226307072516,-0.01572606622857886,0.006921461682106944,0.16796116479709566,
600519.SH,2024-11-01,1521.0,1545.13,1520.8,1533.75,1527.79,5.96,0.3901,32283.92,4954302.212,0.003901059700613274,24.330000000000155,1533.2266666666667,1538.032,1544.051,,-23.20536573772597,-41.85968698841496,-0.4622217405590803,37.66984677652503,,-22.74314399716689,,,,34906.838,,0.9248594788218857,-0.016101613368829537,-0.00037554714025067604,0.1669157680649623,
600519.SH,2024-11-04,1544.93,1550.0,1528.06,1548.2,1533.75,14.45,0.9421,29092.92,4481761.764,0.009421352893235646,21.940000000000055,1542.0866666666668,1534.672,1545.991,1559.0150286,-21.447572708903408,-40.98727821218179,1.0364570306107872,48.75734297333937,,-22.484029739514195,1559.0150286,1636.1803074621625,1481.8497497378376,32901.142,46250.27450479999,0.8842525891654459,-0.010734824281150135,0.005366789087679402,0.18520270253003854,
600519.SH,2024-11-05,1540.0,1577.7,1536.01,1576.99,1548.2,28.79,1.8596,45640.47,7134443.464,0.018595788657796097,41.690000000000055,1563.5666666666666,1543.7459999999999,1549.3899999999999,1555.9367643,-17.52932947881277,-39.3244934827919,3.9637602085611405,61.32989562107537,,-21.49308968737391,1555.9367643,1624.1326340182218,1487.7408945817783,33796.08,43739.7935024,1.3504663854506203,0.02962223005706388,0.040357054338214016,0.13383395597916886,0.2785582493310659
600519.SH,2024-11-06,1575.0,1588.99,1561.22,1571.0,1576.99,-5.99,-0.3798,37631.43,5916917.616,-0.0037983753860202363,27.769999999999982,1573.7366666666667,1551.5459999999998,1549.74,1554.7292643,-14.737551113599011,-37.25942081761872,5.4044308590199215,67.47803806734991,,-20.141981972618932,1554.7292643,1620.8245323242013,1488.6339962757988,34921.218,40828.860499999995,1.0776093204996458,0.025456919060052208,-0.004165310997011673,0.14700373206431244,0.26306083110318773
600519.SH,2024-11-07,1562.46,1653.5,1562.3,1638.555286,1571.0,45.45485999999999,3.033952049999999,74738.72,12074951.757,0.04300145512412468,91.20000000000005,1621.6466666666668,1573.6990572,1558.3755286,1554.7292643,-6.99328540736451,-33.718856569860876,10.518957252203538,70.3481571050083,,-17.51224265956805,1554.7292643,1620.8245323242013,1488.6339962757988,43877.492,40835.6255,1.7033498632966535,0.07250033447005166,0.047043415409999456,0.2863676069852875,0.2898366074616325
600519.SH,2024-11-08,1658.263861,1667.11,1601.01,1609.97,1642.969586,-39.17,-2.3752,60771.2,9885645.907,-0.017445420514178522,66.09999999999991,1626.03,1588.9430571999999,1563.4875286000001,1554.9782642999999,-3.126452920629845,-29.9871673897219,11.508631791150563,65.84728986860677,,-14.635084711780408,1554.9782642999999,1621.9030979721747,1488.053430627825,49574.948,41778.45,1.225844957013369,0.04969519152404245,-0.022805142946009216,0.3643324563201698,0.28715409009243237
600519.SH,2024-11-11,1590.0,1609.95,1567.19,1598.01,1609.97,-11.96,-0.7429,43853.65,6957095.385,-0.007428709851736381,42.77999999999997,1591.716666666667,1598.9050572,1566.7885286,1554.7792643,-1.015328289477111,-26.453774112371875,10.895805137842638,60.83468763317841,,-11.911133427319749,1554.7792643,1621.1367783449261,1488.421750255074,52527.094,41730.5315,0.8348767590303017,0.032172845885544366,-0.017522345638498082,0.38494265169714387,0.2883889700561634
600519.SH,2024-11-12,1589.0,1623.0,1573.95,1577.2,1598.01,-20.81,-1.3022,49222.66,7844798.676,-0.013022446668043308,49.049999999999955,1591.3833333333332,1598.9470572,1571.3465285999998,1555.9267643,-1.0097995523690315,-23.501613073275156,8.721067099960575,51.93867726376706,,-9.730866652329606,1555.9267643,1623.0352272962841,1488.818301303716,53243.53199999999,42013.093,0.9244814938272692,0.00013316508031135932,-0.032039680805233006,0.38822211299746767,0.2709948413846922
600519.SH,2024-11-13,1568.0,1586.66,1561.28,1578.5,1577.2,1.3,0.0824,29125.26,4594445.032,0.0008242454983515834,25.38000000000011,1575.4800000000002,1600.4470572,1575.9965286,1558.7267643,-0.8902565298214995,-20.99420862983797,7.0724880980064855,55.56800954862402,,-7.962744627827985,1558.7267643,1624.6250031960228,1492.8285254039772,51542.297999999995,41136.136,0.5650749215721814,0.004774029280713021,0.004640864200401662,0.3865602520677192,0.2590798953650162
600519.SH,2024-11-14,1570.0,1594.45,1565.65,1573.8,1578.5,-4.7,-0.2978,29248.14,4617144.097,-0.0029775102945834853,28.799999999999955,1577.966666666667,1587.496,1580.5975286,1562.6867643,-1.1613808679414888,-18.924146995233993,5.441091007909198,53.19143614763267,,-6.602471875850687,1562.6867643,1621.4970274760406,1503.8765011239595,42444.182,40625.5655,0.6890965645185482,-0.03951974434630101,-0.04429377362701403,0.11715438598310682,0.24868243089374303
600519.SH,2024-11-15,1569.0,1583.8,1553.0,1559.0,1573.8,-14.8,-0.9404,33761.12,5295326.892,-0.00940399034184769,30.799999999999955,1565.2666666666667,1577.3020000000001,1583.1225286000001,1563.5867643,-2.541191892190227,-17.429712809131,3.2490239869283686,48.76477418598083,,-5.790215879118596,1563.5867643,1621.5443713038617,1505.6291572961381,37042.166000000005,38882.6565,0.9114240241782837,-0.0316589750119568,0.007860769334344209,0.08616295739347773,0.2281341242838551
600519.SH,2024-11-18,1562.0,1575.99,1555.0,1559.0,1559.0,0.0,0.0,27092.19,4237197.499,0.0,20.99000000000001,1563.33,1569.5,1584.2025286,1565.0967643,-3.593280963699044,-16.33468562430213,1.7575479323356413,56.53490029136016,,-5.3508288960346855,1565.0967643,1620.7667835051755,1509.4267450948244,33689.873999999996,38136.871,0.8041641829826969,-0.024411611942353306,0.007247363069603496,0.09614624459795948,0.22589811091942685
600519.SH,2024-11-19,1565.0,1569.37,1525.0,1541.92,1559.0,-17.08,-1.0956,33266.43,5138831.155,-0.010955740859525331,44.36999999999989,1545.43,1562.444,1580.6955286,1565.0427642999998,-5.7391253249816145,-15.782673516344248,-0.31063714315754254,52.192841176421815,,-5.428488181824072,1565.0427642999998,1620.8050502208903,1509.2804783791094,30498.627999999997,37986.736,1.0907516888956448,-0.022368754755262454,0.002042857187090852,0.08572279907843075,0.22755756864112128
